booth,fandoms,facebook_url,zone
A01-04,"genshin, hsr",https://www.facebook.com/photo/?fbid=1067755692046623&set=a.1056396709849188,A
A05-06,"ALNST, blue lock, dungeon mechi, genshin, hsr, mahou-shoujo, wind breaker, zzz",https://www.facebook.com/photo/?fbid=1065770478911811&set=a.1056396709849188,A
A07-08,"dungeon mechi, ensemble star, gegege, genshin, hsr, jojo, mashle, original",https://www.facebook.com/photo/?fbid=1066479395507586&set=a.1056396709849188,A
A11-12,"blue lock, genshin, hsr, original, wind breaker, zzz",https://www.facebook.com/photo/?fbid=1066479412174251&set=a.1056396709849188,A
A13-14,"ALNST, genshin, haikyuu, hsr, wind breaker",https://www.facebook.com/photo/?fbid=1067742412047951&set=a.1056396709849188,A
A19-20,"ALNST, hsr, nijisanji, orv",https://www.facebook.com/photo/?fbid=1065770575578468&set=a.1056396709849188,A
A23-24,"arknights, blue lock, dungeon mechi, genshin, honkai3, hsr, original, wind breaker",https://www.facebook.com/photo/?fbid=1065770568911802&set=a.1056396709849188,A
A25-26,"etc., genshin, hsr, original",https://www.facebook.com/photo/?fbid=1065770458911813&set=a.1056396709849188,A
A27,"frieren, kny, maomao, shoujo, skip & loafer, spy x fam",https://www.facebook.com/photo/?fbid=1065770442245148&set=a.1056396709849188,A
A29-30,"ALNST, dandadan, dungeon mechi, hsr, mahou-shoujo, original, project sekai",https://www.facebook.com/photo/?fbid=1066479375507588&set=a.1056396709849188,A
A33-34,"genshin, hsr",https://www.facebook.com/photo/?fbid=1062413179247541&set=a.1056396709849188,A
A49-50,arknights,https://www.facebook.com/photo/?fbid=1062413192580873&set=a.1056396709849188,A
A51-52,"Hand-made, dandadan, original, shoujo",https://www.facebook.com/photo/?fbid=1065770418911817&set=a.1056396709849188,A
A57-58,"Hand-made, original",https://www.facebook.com/photo/?fbid=1067751335380392&set=a.1056396709849188,A
A63-64,original,https://www.facebook.com/photo/?fbid=1067742298714629&set=a.1056396709849188,A
A67-68,"dungeon mechi, identityV, original, orv, webtoon",https://www.facebook.com/photo/?fbid=1065770608911798&set=a.1056396709849188,A
A69-72,"Hazbin hotel, dungeon mechi, final fantasy, genshin, hsr, hxh, kny, mob100, original, plave",https://www.facebook.com/photo/?fbid=1066310345524491&set=a.1056396709849188,A
A75-78,"Hand-made, original",,A
A79-80,original,https://www.facebook.com/photo/?fbid=1057907066364819&set=a.1056396709849188,A
A81-82,"original, webtoon",https://www.facebook.com/photo.php?fbid=1251032879920687&set=p.1251032879920687&type=3,A
A89-92,"ALNST, frieren, original, wind breaker",https://www.facebook.com/photo/?fbid=1067742398714619&set=a.1056396709849188,A
A95,"hsr, original",https://www.facebook.com/photo/?fbid=1065770592245133&set=a.1056396709849188,A
B03-04,"one piece, original",https://www.facebook.com/photo/?fbid=1067760408712818&set=a.1056397906515735,B
B07,"one piece, original, squid game",https://www.facebook.com/photo/?fbid=1062415305913995&set=a.1056397906515735,B
B05-06,"blue lock, conan, good omens, haikyuu, hxh, mahou-shoujo, one piece, original, squid game",https://www.facebook.com/photo/?fbid=1067760248712834&set=a.1056397906515735,B
B08,"etc., one piece",https://www.facebook.com/photo/?fbid=1066482122173980&set=a.1056397906515735,B
B09-10,"arknights, gundum, haikyuu, one piece, original, path to nowwhere, plave, slamdunk",https://www.facebook.com/photo/?fbid=1067760275379498&set=a.1056397906515735,B
B11-12,"Hazbin hotel, etc., one piece, squid game",https://www.facebook.com/photo/?fbid=1066311662191026&set=a.1056397906515735,B
B13-14,"gegege, mob100, one piece, original",https://www.facebook.com/photo/?fbid=1067760475379478&set=a.1056397906515735,B
B15-16,"LoL, holo, nijisanji, one piece",https://www.facebook.com/photo/?fbid=1065773752244817&set=a.1056397906515735,B
B17-18,one piece,https://www.facebook.com/photo/?fbid=1056397323182460&set=a.1056397906515735,B
B19-20,"one piece, ranma, shoujo",https://www.facebook.com/photo/?fbid=1065773992244793&set=a.1056397906515735,B
B23-24,"AOT, MHA, dungeon mechi, haikyuu, one piece, original, shoujo, sonic",https://www.facebook.com/photo/?fbid=1065773895578136&set=a.1056397906515735,B
B25-26,"etc., genshin, hsr, naruto, one piece, s class, tsurune, webtoon, wind breaker",https://www.facebook.com/photo/?fbid=1066311605524365&set=a.1056397906515735,B
B29-30,"AOT, JJK, Kaijuu8, MHA, blue lock, bocchi, conan, dandadan, dungeon mechi, frieren, genshin, haikyuu, hsr, mahou-shoujo, mashle, one piece, original, ron, sakamoto day, shoujo, spy x fam, tokyo revenger, zzz",https://www.facebook.com/photo/?fbid=1065773862244806&set=a.1056397906515735,B
B31,"ALNST, JJK, blue lock, chainsaw man, haikyuu, mashle, one piece, tokyo revenger, wind breaker, wuwa",https://www.facebook.com/photo/?fbid=1066311765524349&set=a.1056397906515735,B
B32,"haikyuu, original",https://www.facebook.com/photo/?fbid=1065773835578142&set=a.1056397906515735,B
B33,"chainsaw man, dungeon mechi, haikyuu, one piece, original, wind breaker, zzz",https://www.facebook.com/photo/?fbid=1066482105507315&set=a.1056397906515735,B
B34,"JJK, blue lock, etc., haikyuu, one piece, slamdunk",https://www.facebook.com/photo/?fbid=1056397313182461&set=a.1056397906515735,B
B37-38,holo,https://www.facebook.com/photo/?fbid=1062415412580651&set=a.1056397906515735,B
B39-40,"Hand-made, original, slamdunk",https://www.facebook.com/photo/?fbid=1066311632191029&set=a.1056397906515735,B
B41-42,"Hand-made, MHA, blue lock, conan, dandadan, genshin, haikyuu, jojo, maomao, mob100, original, ranma, shoujo, trigun",https://www.facebook.com/photo/?fbid=1066311672191025&set=a.1056397906515735,B
B43,"conan, haikyuu, kuroko, tokyo revenger",https://www.facebook.com/photo/?fbid=1066311588857700&set=a.1056397906515735,B
B45-46,"ALNST, frieren, haikyuu, nijisanji, original, slamdunk",https://www.facebook.com/photo/?fbid=1067760438712815&set=a.1056397906515735,B
B47-50,"JJK, LoL, MHA, blue lock, death note, gintama, haikyuu, mashle, sakamoto day, wind breaker",https://www.facebook.com/photo/?fbid=1067760565379469&set=a.1056397906515735,B
B51-52,"Kaijuu8, blue lock, frieren, haikyuu, kny, pixela, sakamoto day, shoujo, wind breaker",https://www.facebook.com/photo/?fbid=1065773808911478&set=a.1056397906515735,B
B53-54,"JJK, LoL, MHA, genshin, original, plave",https://www.facebook.com/photo/?fbid=1067769338711925&set=a.1056397906515735,B
B55,"AOT, JJK, Kaijuu8, MHA, blue lock, hxh, kny, miu404, one piece, spy x fam",https://x.com/moonyserin/status/1900495799630393399?s=61&t=wJq4btFmmjyTF-lgv1ra-A,B
B57,"JJK, MHA, death note, gintama, haikyuu, hxh, mahou-shoujo, naruto, original, shoujo",https://www.facebook.com/photo/?fbid=1062415369247322&set=a.1056397906515735,B
B58,"Hand-made, JJK, Kaijuu8, original, wind breaker",https://www.facebook.com/photo/?fbid=1067760355379490&set=a.1056397906515735,B
B61-62,"Kaijuu8, blue lock, gegege, haikyuu, original",https://www.facebook.com/photo/?fbid=1065773948911464&set=a.1056397906515735,B
B63-64,"JJK, blue lock, chainsaw man, gintama, haikyuu, linkclick, original, trigun",https://www.facebook.com/photo/?fbid=1067760312046161&set=a.1056397906515735,B
B65-66,"JJK, Kaijuu8, MHA, blue lock, haikyuu, mashle, original, plave, reborn, sakamoto day, wind breaker, wuwa",https://x.com/bluminty06/status/1899818028327465331 ,B
B68,"AOT, MHA, blue lock, etc., gintama, given, haikyuu, kny, kuroko, naruto, original, pixela, sakamoto day, wind breaker",https://www.facebook.com/photo/?fbid=1065773795578146&set=a.1056397906515735,B
B69,"blue lock, wind breaker",https://www.facebook.com/photo/?fbid=1067760485379477&set=a.1056397906515735,B
B71-72,"blue lock, genshin, hsr, original, wuwa",https://www.facebook.com/photo/?fbid=1065773775578148&set=a.1056397906515735,B
B73-74,"Hand-made, JJK, gegege, haikyuu, kny, linkclick, original, orv, plave, sakamoto day, tsurune, wind breaker",https://www.facebook.com/photo/?fbid=1066311645524361&set=a.1056397906515735,B
B75-76,"Kaijuu8, blue lock, mashle, sakamoto day, wind breaker",https://www.facebook.com/photo/?fbid=1067760515379474&set=a.1056397906515735,B
B77,"blue lock, hsr, wuwa, zzz",https://www.facebook.com/photo/?fbid=1062415342580658&set=a.1056397906515735,B
B79,blue lock,https://www.facebook.com/photo/?fbid=1065774018911457&set=a.1056397906515735,B
B80,"ALNST, JJK, MHA, orv, trigun, wind breaker",https://www.facebook.com/photo/?fbid=1056397299849129&set=a.1056397906515735,B
B81,"identityV, naruto, sasamiya, wind breaker",https://www.facebook.com/photo/?fbid=1062415275913998&set=a.1056397906515735,B
B82,"dungeon mechi, genshin, wind breaker",https://www.facebook.com/photo/?fbid=1067762395379286&set=a.1056397906515735,B
B83-84,"JJK, ensemble star, frieren, hsr, kny, original, pixela, skip & loafer, vanitas, wind breaker",https://www.facebook.com/photo/?fbid=1067768792045313&set=a.1056397906515735,B
B85-86,"ALNST, JJK, MHA, bocchi, frieren, genshin, hsr, pixela, tokyo revenger, wind breaker",https://www.facebook.com/photo/?fbid=1065773915578134&set=a.1056397906515735,B
B87-88,"JJK, LoL, dungeon mechi, etc., haikyuu, hsr, wind breaker, witch hat atelier",https://www.facebook.com/photo/?fbid=1066311735524352&set=a.1056397906515735,B
B89-90,"Hazbin hotel, dungeon mechi, genshin, mashle, tokyo revenger, wind breaker",https://www.facebook.com/photo/?fbid=1067771048711754&set=a.1056397906515735,B
B91,"JJK, genshin, kny, mashle, wind breaker",https://www.facebook.com/photo/?fbid=1065773965578129&set=a.1056397906515735,B
C02,JJK,https://www.facebook.com/photo/?fbid=1066483558840503&set=a.1056398876515638,C
C03-04,"Hazbin hotel, JJK, Re, dungeon mechi, marvel, original, reborn, theboys",https://www.facebook.com/photo/?fbid=1065779515577574&set=a.1056398876515638,C
C09-10,"JJK, MHA, bleach, kny, original, wind breaker",https://www.facebook.com/photo/?fbid=1067956012026591&set=a.1056398876515638,C
C11-12,"ALNST, JJK, frieren, genshin, hsr, kuroko, nu carnival, skip & loafer, wind breaker",https://x.com/mirugi11/status/1900503100861116647,C
C14,"Hand-made, JJK, MHA, mashle, paradox live, tokyo revenger",https://www.facebook.com/photo/?fbid=1066313865524139&set=a.1056398876515638,C
C21-22,"MHA, hsr, mashle, nijisanji, original, plave",https://www.facebook.com/photo/?fbid=1067955945359931&set=a.1056398876515638,C
C23,"MHA, blue lock, conan, haikyuu, mashle, naruto, original, sakamoto day, shoujo, spy x fam, wind breaker",https://www.facebook.com/photo/?fbid=1066313832190809&set=a.1056398876515638,C
C25-26,"MHA, identityV, nijisanji, original",https://www.facebook.com/photo/?fbid=1065779485577577&set=a.1056398876515638,C
C30,"ALNST, chainsaw man, dungeon mechi, frieren, genshin, hsr, mashle, nijisanji, wind breaker",https://www.facebook.com/photo/?fbid=1067955682026624&set=a.1056398876515638,C
C31,"hsr, original, twisted",https://www.facebook.com/photo/?fbid=1065779632244229&set=a.1056398876515638,C
C32,"JJK, slamdunk",https://www.facebook.com/photo/?fbid=1067955798693279&set=a.1056398876515638,C
C33,"fate, genshin, haikyuu, hsr, kny, oc x canon, shoujo",https://x.com/pairiaria/status/1900154484946300949,C
C34,"Hazbin hotel, arknights, dr.stone, etc., haikyuu, harry potter, one piece, sonic, zzz",https://www.facebook.com/photo/?fbid=1065779568910902&set=a.1056398876515638,C
C35-36,"AOT, MHA, genshin, gintama, haikyuu, oc x canon, original, wuwa",https://www.facebook.com/photo/?fbid=1067963462025846&set=a.1056398876515638,C
C38,kny,https://www.facebook.com/photo/?fbid=1067955855359940&set=a.1056398876515638,C
C39-40,kny,https://www.facebook.com/photo/?fbid=1067955782026614&set=a.1056398876515638,C
C41,"AOT, haikyuu, mahou-shoujo, naruto",https://www.facebook.com/photo/?fbid=1065779768910882&set=a.1056398876515638,C
C43-44,"death note, kny, nijisanji, vtuber",https://www.facebook.com/photo/?fbid=1066483592173833&set=a.1056398876515638,C
C51-52,"dr.stone, hxh, one piece",https://www.facebook.com/photo/?fbid=1067955698693289&set=a.1056398876515638,C
C53-54,dr.stone,https://www.facebook.com/photo/?fbid=1066483635507162&set=a.1056398876515638,C
C55,"JJK, dungeon mechi, golden kamuy, mashle, mouth washing, naruto, original",https://www.facebook.com/photo/?fbid=1065779662244226&set=a.1056398876515638,C
C56,"hsr, jojo, original",https://www.facebook.com/photo/?fbid=1066313858857473&set=a.1056398876515638,C
C57-60,"JJK, Kaijuu8, MHA, chainsaw man, dandadan, dungeon mechi, gintama, gokurakugai, haikyuu, iruma, kny, mashle, one piece, original, ron, sakamoto day, shoujo, skip & loafer, spy x fam",https://www.facebook.com/photo/?fbid=1067955768693282&set=a.1056398876515638,C
C65-68,"MHA, bungo, dungeon mechi, evangelion, final fantasy, genshin, honkai3, hsr, jojo, madoka, mob100, original, pony, project sekai, slamdunk",https://www.facebook.com/photo/?fbid=1067955898693269&set=a.1056398876515638,C
C69-70,"Hand-made, JJK, etc., original, yugi oh",https://www.facebook.com/photo/?fbid=1056398513182341&set=a.1056398876515638,C
C71-74,"AOT, etc.",https://www.facebook.com/photo/?fbid=1067955808693278&set=a.1056398876515638,C
C75-76,"ALNST, dr.stone, ensemble star, hxh",https://www.facebook.com/photo.php?fbid=1067955665359959&set=a.1056398876515638&type=3&mibextid=wwXIfr&rdid=UHqm6bm0hOl4FzUX&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1KUp9AW98u%2F%3Fmibextid%3DwwXIfr#,C
C79,reborn,https://www.facebook.com/photo/?fbid=1065779498910909&set=a.1056398876515638,C
C80,"MHA, original, project sekai, tokyo revenger",https://www.facebook.com/photo/?fbid=1062328415922684&set=a.1056398876515638,C
C81,"conan, genshin, wuwa, zzz",https://www.facebook.com/photo/?fbid=1065779545577571&set=a.1056398876515638,C
C82,"final fantasy, marvel, ranma, shoujo",https://www.facebook.com/photo/?fbid=1066483578840501&set=a.1056398876515638,C
C83-84,"digimon, etc., harry potter, kny, mahou-shoujo, pokemon, spy x fam",https://www.facebook.com/photo/?fbid=1065779602244232&set=a.1056398876515638,C
C85-86,"Hazbin hotel, bungo, mashle, nijisanji, nu carnival, pokemon, vtuber",https://www.facebook.com/photo/?fbid=1065779748910884&set=a.1056398876515638,C
C87-88,"oc x canon, original, reborn, twisted",https://www.facebook.com/photo/?fbid=1056398546515671&set=a.1056398876515638,C
C92,"JJK, original",https://www.facebook.com/photo/?fbid=1065779732244219&set=a.1056398876515638,C
D01-02,"LoL, blue lock, dungeon mechi, gegege, genshin, hsr, mouth washing, one piece, original, orv, wind breaker, witch hat atelier",https://www.facebook.com/photo/?fbid=1067971192025073&set=a.1056399543182238,D
D03-04,"AOT, Hazbin hotel, genshin, holo, hsr, zzz",https://www.facebook.com/photo/?fbid=1065782155577310&set=a.1056399543182238,D
D05-06,"chi, dungeon mechi, miu404, mob100, trigun, zzz",https://www.facebook.com/photo/?fbid=1065782258910633&set=a.1056399543182238 ,D
D07-08,etc.,https://www.facebook.com/photo/?fbid=1065782448910614&set=a.1056399543182238,D
D10,"dungeon mechi, monster",https://www.facebook.com/photo/?fbid=1067970982025094&set=a.1056399543182238,D
D11-12,"blue lock, dandadan, dungeon mechi, original, wind breaker",https://www.facebook.com/photo/?fbid=1065782168910642&set=a.1056399543182238,D
D13-14,"AOT, JJK, bungo, chi, dungeon mechi, elden ring, genshin, hsr, mob100, original, wuwa",https://www.facebook.com/photo/?fbid=1067971142025078&set=a.1056399543182238,D
D15,"arp, dungeon mechi, frieren, genshin, hsr, maomao, original, shoujo",https://www.facebook.com/photo/?fbid=1065782128910646&set=a.1056399543182238,D
D16,frieren,https://www.facebook.com/photo/?fbid=1067971108691748&set=a.1056399543182238,D
D17,"JJK, genshin, identityV, trigun",https://www.facebook.com/photo/?fbid=1065782215577304&set=a.1056399543182238,D
D18,"ALNST, dungeon mechi, genshin, nijisanji, one piece, orv, sonic",https://www.facebook.com/photo/?fbid=1065782405577285&set=a.1056399543182238,D
D19,"MHA, haikyuu, plave",https://www.facebook.com/photo/?fbid=1065782475577278&set=a.1056399543182238,D
D21-22,"blue lock, conan, dungeon mechi, frieren, genshin, hsr, shoujo, skip & loafer, tsurune, wind breaker",https://www.facebook.com/photo/?fbid=1065782322243960&set=a.1056399543182238,D
D23-24,"hsr, orv, webtoon",https://www.facebook.com/photo/?fbid=1065782062243986&set=a.1056399543182238,D
D25-28,"JJK, etc., genshin, haikyuu, kny, one piece, original, spy x fam",https://www.facebook.com/photo/?fbid=1065782602243932&set=a.1056399543182238,D
D33,"ALNST, gegege, orv",https://www.facebook.com/photo/?fbid=1067971085358417&set=a.1056399543182238,D
D35-36,"MHA, ensemble star, hsr, original",https://www.facebook.com/photo/?fbid=1065782272243965&set=a.1056399543182238,D
D37,"ALNST, paradox live",https://www.facebook.com/photo?fbid=1067977592024433&set=a.1056399543182238,D
D38,"haikyuu, mashle, paradox live",https://www.facebook.com/photo/?fbid=1066314842190708&set=a.1056399543182238,D
D39,"IDOLiSH7, hsr, paradox live",https://www.facebook.com/photo/?fbid=1062388632583329&set=a.1056399543182238,D
D45-46,"ALNST, webtoon",https://www.facebook.com/photo?fbid=1067978052024387&set=a.1056399543182238,D
D49-50,"dungeon mechi, mrat, pony",https://scontent.fbkk22-4.fna.fbcdn.net/v/t39.30808-6/482225336_1065782385577287_4410302879818957920_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=f727a1&_nc_eui2=AeE_Bzdpitr6uyIFcFH3VGz3d7NMGJSWhUx3s0wYlJaFTMTv8WMtcZumYrFNUJPgjVLcLC7D2yYVhtuH8-stn3nd&_nc_ohc=9w4-CaBOcZwQ7kNvgHNuei7&_nc_oc=AdgQrh3qFalfe7c1GtkaJE7yCRDkvRmfX_nYoYaTqbo5NHh2qgldox7wJh60hNOJEF4v0x4m0utg46eMnOGPXSon&_nc_zt=23&_nc_ht=scontent.fbkk22-4.fna&_nc_gid=AQkLN5V5zXpBIgUwpDCmqIv&oh=00_AYGnGwgulFrS7rOUNsPrF8y4w8ekbP_ZK0VTEh25OiEZrg&oe=67D8CF75,D
D51-52,"JJK, bocchi, chi, dandadan, dungeon mechi, frieren, genshin, original, project sekai, zzz",https://www.facebook.com/photo/?fbid=1065782068910652&set=a.1056399543182238,D
D54,"Hazbin hotel, dr.stone, dungeon mechi",https://www.facebook.com/photo/?fbid=1067971018691757&set=a.1056399543182238,D
D55,"chi, dungeon mechi, original",https://www.facebook.com/photo/?fbid=1066314828857376&set=a.1056399543182238,D
D58,"haikyuu, slamdunk, tokyo revenger",https://www.facebook.com/photo/?fbid=1067970955358430&set=a.1056399543182238,D
D59-60,"dungeon mechi, gegege, original",https://www.facebook.com/photo?fbid=1067979615357564&set=a.1056399543182238,D
D61,"Persona, ace attorney, dungeon mechi, fate, gegege, miu404, nijisanji, original, pokemon, skip & loafer, trigun",https://www.facebook.com/photo/?fbid=1065782295577296&set=a.1056399543182238,D
D62,"AOT, LoL, blue lock, chainsaw man, dungeon mechi, gegege, haikyuu, sakamoto day, wind breaker",https://www.facebook.com/photo/?fbid=1067971205358405&set=a.1056399543182238,D
D63-64,"ALNST, final fantasy, gegege, haikyuu, nijisanji, original, tokyo revenger, vtuber",https://www.facebook.com/photo/?fbid=1067971125358413&set=a.1056399543182238,D
D65,"ALNST, dandadan, dungeon mechi, final fantasy, gegege, hsr, trigun",https://www.facebook.com/photo/?fbid=1056399333182259&set=a.1056399543182238,D
D66,"gegege, jojo, reverse1999",https://www.facebook.com/photo/?fbid=1066314805524045&set=a.1056399543182238,D
